station.id,station.name,latitude,longitude,boroname
476,E 31 St & 3 Ave,40.74394314,-73.97966069,Manhattan
476,E 31 St & 3 Ave,40.74394314,-73.97966069,Manhattan
466,W 25 St & 6 Ave,40.74395411,-73.99144871,Manhattan
466,W 25 St & 6 Ave,40.74395411,-73.99144871,Manhattan
501,FDR Drive & E 35 St,40.744219,-73.97121214,Manhattan
546,E 30 St & Park Ave S,40.74444921,-73.98303529,Manhattan
546,E 30 St & Park Ave S,40.74444921,-73.98303529,Manhattan
3123,31 St & Thomson Ave,40.74469738,-73.93540375,Manhattan
453,W 22 St & 8 Ave,40.74475148,-73.99915362,Manhattan
446,W 24 St & 7 Ave,40.74487634,-73.99529885,Manhattan
474,5 Ave & E 29 St,40.7451677,-73.98683077,Manhattan
509,9 Ave & W 22 St,40.7454973,-74.00197139,Manhattan
509,9 Ave & W 22 St,40.7454973,-74.00197139,Manhattan
472,E 32 St & Park Ave,40.7457121,-73.98194829,Manhattan
472,E 32 St & Park Ave,40.7457121,-73.98194829,Manhattan
486,Broadway & W 29 St,40.7462009,-73.98855723,Manhattan
462,W 22 St & 10 Ave,40.74691959,-74.00451887,Manhattan
462,W 22 St & 10 Ave,40.74691959,-74.00451887,Manhattan
3126,44 Dr & Jackson Ave,40.74718234,-73.9432635,Manhattan
3126,44 Dr & Jackson Ave,40.74718234,-73.9432635,Manhattan
3124,46 Ave & 5 St,40.74731,-73.95451,Manhattan
3124,46 Ave & 5 St,40.74731,-73.95451,Manhattan
494,W 26 St & 8 Ave,40.74734825,-73.99723551,Manhattan
494,W 26 St & 8 Ave,40.74734825,-73.99723551,Manhattan
160,E 37 St & Lexington Ave,40.748238,-73.978311,Manhattan
498,Broadway & W 32 St,40.74854862,-73.98808416,Manhattan
167,E 39 St & 3 Ave,40.7489006,-73.97604882,Manhattan
167,E 39 St & 3 Ave,40.7489006,-73.97604882,Manhattan
379,W 31 St & 7 Ave,40.749156,-73.9916,Manhattan
379,W 31 St & 7 Ave,40.749156,-73.9916,Manhattan
379,W 31 St & 7 Ave,40.749156,-73.9916,Manhattan
3127,9 St & 44 Rd,40.74966,-73.9521,Manhattan
388,W 26 St & 10 Ave,40.74971775,-74.00295035,Manhattan
388,W 26 St & 10 Ave,40.74971775,-74.00295035,Manhattan
388,W 26 St & 10 Ave,40.74972,-74.00295,Manhattan
455,1 Ave & E 44 St,40.75001986,-73.96905301,Manhattan
512,W 29 St & 9 Ave,40.7500727,-73.99839279,Manhattan
512,W 29 St & 9 Ave,40.7500727,-73.99839279,Manhattan
